Al_frac,Co_frac,Cr_frac,Hf_frac,Mo_frac,Nb_frac,Si_frac,Ta_frac,Ti_frac,V_frac,W_frac,Zr_frac,Density,Young_Modulus_ROM,Testing_Temp,Yield_Strength,Equilibrium_Conditions_encoded,Single_Multiphase_encoded,Type_Present_Phases_encoded,Tension_Compression_encoded
0.05882352941176471,0.0,0.0,0.0,0.23529411764705885,0.23529411764705885,0.0,0.0,0.23529411764705885,0.23529411764705885,0.0,0.0,7.1,163.6,25.0,1250.0,1,1,6,0
0.05882352941176471,0.0,0.0,0.0,0.0,0.23529411764705885,0.0,0.23529411764705885,0.23529411764705885,0.23529411764705885,0.0,0.0,8.8,130.0,25.0,1330.0,1,1,6,0
0.05882352941176471,0.0,0.0,0.0,0.0,0.23529411764705885,0.0,0.23529411764705885,0.23529411764705885,0.0,0.0,0.23529411764705885,8.6,,25.0,1745.0,4,0,7,0
0.05882352941176471,0.0,0.0,0.0,0.0,0.23529411764705885,0.0,0.23529411764705885,0.23529411764705885,0.0,0.0,0.23529411764705885,8.6,,1000.0,366.0,4,0,7,0
0.047619047619047616,0.0,0.0,0.0,0.2380952380952381,0.0,0.0,0.2380952380952381,0.2380952380952381,0.2380952380952381,0.0,0.0,9.3,184.0,25.0,1021.0,1,1,6,0
0.05660377358490567,0.0,0.0,0.18867924528301888,0.0,0.18867924528301888,0.0,0.18867924528301888,0.18867924528301888,0.0,0.0,0.18867924528301888,9.6,108.3,25.0,1188.0,1,1,6,0
0.06,0.0,0.0,0.0,0.0,0.2,0.0,0.16,0.28,0.04,0.0,0.26,7.7,110.2,25.0,1965.0,4,1,6,0
0.06,0.0,0.0,0.0,0.0,0.2,0.0,0.16,0.28,0.04,0.0,0.26,7.7,,800.0,678.0,4,1,6,0
0.06,0.0,0.0,0.0,0.0,0.2,0.0,0.16,0.28,0.04,0.0,0.26,7.7,,1000.0,166.0,4,1,6,0
0.06,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.28,0.0,0.0,0.26,8.1,,25.0,1965.0,4,0,7,0
0.06,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.28,0.0,0.0,0.26,8.1,,800.0,362.0,4,0,7,0
0.06,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.28,0.0,0.0,0.26,8.1,,1000.0,236.0,4,0,7,0
0.08,0.0,0.0,0.12,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.2,9.1,110.0,25.0,1841.0,4,1,6,0
0.08,0.0,0.0,0.12,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.2,9.1,,800.0,796.0,4,1,6,0
0.08,0.0,0.0,0.12,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.2,9.1,,1000.0,298.0,4,1,6,0
0.08,0.0,0.0,0.12,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.2,9.1,,1200.0,89.0,4,1,6,0
0.1,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.4,0.1,0.0,0.0,5.8,,25.0,1340.0,0,0,9,0
0.1,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.4,0.1,0.0,0.0,5.8,,600.0,930.0,0,0,9,0
0.1,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.4,0.1,0.0,0.0,5.8,,800.0,445.0,0,0,9,0
0.1,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.4,0.1,0.0,0.0,5.8,,1000.0,90.0,0,0,9,0
0.09090909090909091,0.0,0.0,0.18181818181818182,0.0,0.18181818181818182,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,0.18181818181818182,9.3,106.9,25.0,1302.0,1,1,6,0
0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.2222222222222222,0.0,0.1111111111111111,0.2222222222222222,0.0,0.0,0.2222222222222222,7.6,,25.0,2350.0,4,0,7,0
0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.2222222222222222,0.0,0.1111111111111111,0.2222222222222222,0.0,0.0,0.2222222222222222,7.6,,1000.0,579.0,4,0,7,0
0.1111111111111111,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,6.8,158.4,25.0,1625.0,1,1,6,0
0.1,0.0,0.0,0.0,0.0,0.2,0.0,0.16,0.3,0.04,0.0,0.2,7.6,111.3,25.0,2035.0,4,0,7,0
0.1,0.0,0.0,0.0,0.0,0.2,0.0,0.16,0.3,0.04,0.0,0.2,7.6,,800.0,796.0,4,0,7,0
0.1,0.0,0.0,0.0,0.0,0.2,0.0,0.16,0.3,0.04,0.0,0.2,7.6,,1000.0,220.0,4,0,7,0
0.1111111111111111,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0,0.0,8.5,126.7,25.0,1012.0,1,1,6,0
0.13043478260869568,0.0,0.0,0.0,0.21739130434782608,0.0,0.0,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.0,0.0,8.7,174.1,25.0,962.0,1,1,6,0
0.13043478260869565,0.0,0.0,0.17391304347826086,0.0,0.17391304347826086,0.0,0.17391304347826086,0.17391304347826086,0.0,0.0,0.17391304347826086,9.1,105.3,25.0,1415.0,1,1,6,0
0.15789473684210525,0.0,0.0,0.0,0.2105263157894737,0.2105263157894737,0.0,0.0,0.2105263157894737,0.2105263157894737,0.0,0.0,6.6,153.8,25.0,1260.0,1,1,6,0
0.2727272727272727,0.0,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,6.1,142.4,25.0,500.0,1,1,6,0
0.2222222222222222,0.0,0.1111111111111111,0.0,0.0,0.2222222222222222,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,5.6,124.1,25.0,1300.0,0,1,6,0
0.2222222222222222,0.0,0.1111111111111111,0.0,0.0,0.2222222222222222,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,5.6,,600.0,1005.0,0,1,6,0
0.2222222222222222,0.0,0.1111111111111111,0.0,0.0,0.2222222222222222,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,5.6,,800.0,640.0,0,1,6,0
0.2222222222222222,0.0,0.1111111111111111,0.0,0.0,0.2222222222222222,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,5.6,,1000.0,40.0,0,1,6,0
0.18181818181818182,0.0,0.2727272727272727,0.0,0.0,0.18181818181818182,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,5.9,,25.0,1700.0,0,0,9,0
0.18181818181818182,0.0,0.2727272727272727,0.0,0.0,0.18181818181818182,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,5.9,,600.0,1370.0,0,0,9,0
0.18181818181818182,0.0,0.2727272727272727,0.0,0.0,0.18181818181818182,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,5.9,,800.0,970.0,0,0,9,0
0.18181818181818182,0.0,0.2727272727272727,0.0,0.0,0.18181818181818182,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,5.9,,1000.0,75.0,0,0,9,0
0.2,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,6.6,,25.0,1010.0,0,0,13,0
0.2,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,6.6,,400.0,1080.0,0,0,13,0
0.2,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,6.6,,600.0,1060.0,0,0,13,0
0.2,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,6.6,,800.0,875.0,0,1,6,0
0.2,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,6.6,,1000.0,594.0,0,0,13,0
0.2,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,6.6,,1200.0,150.0,0,1,6,0
0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,6.0,,400.0,1070.0,0,1,6,0
